"fr_DZA_elwata_int" "2017-07-30 13:00:00" "Téhéran déterminé à poursuivre son programme balistique" " 
	Depuis l’arrivée du président américain Donald Trump à la Maison-Blanche, deux mots reviennent en leitmotiv dans les relations entre Téhéran et Washington : «sanctions» et «condamnations». Deux mots qui résument la dégradation des rapports entre les deux pays. 
	Ainsi, l’Iran a condamné hier les nouvelles sanctions adoptées par le Congrès américain en affirmant qu’il allait poursuivre «avec toutes ses forces» son programme balistique. «Nous allons continuer avec toutes nos forces notre programme balistique», a déclaré le porte-parole du ministère des Affaires étrangères, Bahram Ghassemi, cité par l’AFP. «Notre politique dans le domaine militaire et balistique (...) concerne nos affaires intérieures.

	Les autres pays n’ont pas le droit de s’y ingérer.» Et d’ajouter : «Nous condamnons l’action hostile et inacceptable» des Etats-Unis, en référence aux nouvelles sanctions votées par le Congrès que le président Donald Trump doit signer. Pour B. Ghassemi, cette «loi concerne les sanctions non nucléaires (...) mais vise à affaiblir l’accord nucléaire» conclu le 14 juillet 2015 à Vienne entre l’Iran et le Groupe 5+1, à savoir les Etats-Unis, Russie, Chine, France, Royaume-Uni ainsi que l’Allemagne.

	Deux jours après, la Chambre des représentants, le Sénat, a adopté jeudi à la quasi unanimité (98 voix contre 2) un projet de loi pour imposer des sanctions contre la Russie, l’Iran et la Corée du Nord. Concernant l’Iran, ces sanctions concernent son programme balistique, les droits de l’homme et le soutien de Téhéran à des groupes comme le Hezbollah libanais qualifiés de «terroristes» par les Etats-Unis.
	Vendredi, les Etats-Unis et leurs alliés occidentaux ont réagi d’une même voix contre l’Iran en sommant Téhéran de cesser ses tirs de missiles balistiques. Déclaration qui intervient au lendemain d’un essai de lanceur de satellites par la République islamique. Dans un communiqué diffusé par le département d’Etat américain, Washington, Paris, Londres et Berlin ont «condamné» le test iranien, jeudi, d’un lanceur de satellites et ont «appelé» Téhéran à «ne plus procéder à d’autres lancements de missiles balistiques et aux activités liées» à ce programme.

	Pour Washington et ses alliés, ce programme balistique «reste incompatible avec la résolution 2231 du Conseil de sécurité de l’ONU et a un impact déstabilisateur dans la région». Cette résolution a été votée il y a deux ans au niveau de l’Organisation des Nations unies (ONU) pour consacrer l’accord international sur le programme nucléaire iranien de juillet 2015. Mais elle «appelle» aussi l’Iran «à ne pas entreprendre d’activités liées à des missiles balistiques et capables de porter des armes nucléaires», ont relevé les Etats-Unis et leurs alliés dans le communiqué. La diplomatie américaine a précisé que «les gouvernements français, allemand et britannique» ont chacun entrepris des «discussions bilatérales» avec l’Iran et lui ont fait part de leurs «préoccupations». Les quatre pays alliés ont également écrit au secrétaire général de l’ONU, Antonio Guterres.

	Au siège des Nations unies à New York, l’ambassadrice américaine Nikki Haley a réagi par voie de communiqué pour condamner «le large soutien de l’Iran aux terroristes» et «la rupture de ses obligations sur les tests de missiles». Cela «nous montre que nous ne pouvons pas leur faire confiance», a-t-elle indiqué. De son côté, le Trésor américain a imposé vendredi matin de nouvelles sanctions ciblées contre six organisations et «entités» iraniennes liées au programme balistique. Le secrétaire au Trésor, Steven Mnuchin, a dénoncé dans un communiqué les «actions provocatrices» de Téhéran et la «menace» que l’Iran représenterait pour le Moyen-Orient.

	Les Occidentaux soupçonnent l’Iran de chercher à développer, en utilisant la technologie de ses lanceurs de satellites, des lanceurs balistiques à longue portée capables d’emporter des charges conventionnelles ou nucléaires. Ce que Téhéran dément, affirmant que son programme spatial est uniquement à objectif pacifique.

	D’accord pour ne pas s’entendre

	Le 28 avril 1951, le docteur Mossadegh devient Premier ministre. Il nationalise les richesses pétrolières du pays et en août 1953, un coup d’Etat organisé par Londres et Washington, l’«opération Ajax», exécuté par la CIA, le destitue au profit du Shah Mohammad Reza Pahlavi. Ce dernier mène une politique proaméricaine.

	A travers sa police politique la Savak, il lamine toute velléité d’opposition.
	Il se lance dans des réformes socioéconomiques, «la révolution blanche», provoquant des émeutes en 1963 d’où émerge Ruhollah Khomeini. Cependant, le clergé chiite demeure l’unique rescapé de la répression sanglante menée par le shah. Ce qui fait de lui le canal le plus important de la colère populaire et ses aspirations à la démocratie et la souveraineté nationale, sachant que les Iraniens sont exaspérés par la présence étrangère, notamment américaine, sur leur territoire. Le shah quitte le pays en janvier 1978. Le 1er février 1979, Khomeini entre à Téhéran, consacrant ainsi le pouvoir des ayatollahs. Les événements se précipitent. Le 4 novembre de la même année, des étudiants occupent l’ambassade américaine dont le personnel ne sera libéré que le 20 janvier 1981. Le 7 avril 1980, Washington rompt les relations diplomatiques et impose un embargo commercial et sur les voyages.

	En septembre de la même année est déclenchée la guerre irano-irakienne suite à l’agression des troupes de Saddam Hussein. Au paroxysme de ce conflit, éclate le scandale de l’Irangate. Il s’agit de vente secrète d’armes américaines à l’Iran. L’argent récolté sera versé aux contre-révolutionnaires nicaraguayens engagés dans une guerre contre le gouvernement sandiniste. En plus, les Américains comptent obtenir la libération de leurs otages au Liban. En octobre 1986, un avion américain transportant des armes pour les contras s’écrase au Nicaragua. Les forces sandinistes capturent un pilote rescapé du crash, qui avoue les secrets de l’opération et donne les noms de ses architectes. En novembre de la même année, l’hebdomadaire libanais Al Shiraa révèle l’affaire et évoque le voyage du conseiller national à la sécurité, Robert McFarlane, à Téhéran.

	Le scandale secoue même la Présidence américaine. L’opération s’est déroulée en dehors du processus institutionnel, en violation de la Constitution et des décisions du Congrès, et de l’esprit de l’opération «Staunch» destinée à empêcher Téhéran de s’approvisionner en armes même auprès des alliés de Washington. Le 3 juillet 1988, un navire de guerre américain abat un Airbus d’Iranair au-dessus du Golfe faisant 290 morts. Washington évoque une «erreur».

	Nommé commandant en chef des forces armées, Hachemi Rafsendjani convainc Khomeini d’accepter la résolution 598 du Conseil de sécurité de l’ONU qui met fin à la guerre avec l’Irak en 1988. Khomeini meurt en juin 1989. Lui succède Ali Khamenei. Le nouveau guide tisse de forts liens avec Hachemi Rafsandjani qui finit par devenir président de la République. Ils appellent à la libéralisation économique, des réformes politiques et la reconstruction du pays. En juin 1992, pour trouver des capitaux, l’Iran adopte une loi sur l’investissement privé, les étrangers ouvrent ainsi droit à posséder la totalité d’une entreprise iranienne. Le 30 avril 1995, un embargo économique total américain est décrété contre l’Iran «en quête d’armes nucléaires», selon le président Bill Clinton. Il est suivi en 1996 de sanctions contre les sociétés investissant dans les secteurs pétrolier ou gazier iraniens.

	Son successeur, Mohammad Khatami, est considéré lui aussi comme un réformateur. Mais cela n’empêche pas le président George W. Bush, en janvier 2002, de parler de l’«axe du mal» pour désigner les pays qui soutiennent le terrorisme et souhaitent se doter de l’arme nucléaire, à savoir l’Irak, l’Iran et la Corée du Nord. L’élection d’Ahmadinejad n’a fait qu’exacerber les tensions entre Téhéran et l’Occident. Son successeur Hassan Rohani a réussi à trouver un accord sur le programme nucléaire iranien mais les relations entre Washington et Téhéran demeurent convulsives.
	  "
"fr_DZA_elwata_int" "2017-07-30 13:00:00" "Nouvel incident maritime américano-iranien dans le Golfe" " 
	Washington et Téhéran s’accusaient mutuellement de provocation hier, après qu’un nouvel incident a opposé des navires américains et des bateaux iraniens dans le Golfe, rapporte l’AFP. 
	Selon un communiqué des Gardiens de la révolution, publié sur leur site officiel, l’incident s’est produit vendredi après-midi entre le porte-avions Nimitz et les navires l’accompagnant d’un côté et des frégates iraniennes équipées de missiles de l’autre. «Vendredi, le porte-avion Nimitz et les navires accompagnateurs américains, qui étaient sous la surveillance des frégates iraniennes équipées de missiles dans la zone proche du champ pétrolier Ressalat (dans la région centrale du Golfe, ndlr) ont fait décoller un hélicoptère pour s’approcher des bateaux des Gardiens de la révolution», affirme le communiqué. Il dénonce l’attitude «provocatrice et non professionnelle des Américains», qui «ont lancé des avertissements, notamment des fusées éclairantes en direction des frégates iraniennes». Les frégates iraniennes «ont néanmoins poursuivi leur mission alors que le porte-avion américain et ses navires accompagnateurs ont quitté la zone», ajoute le texte.

	A chacun sa vérité

	De son côté, la marine américaine a donné une autre version des faits. Lors d’une patrouille de routine, explique l’US Navy dans un communiqué, «un hélicoptère américain a observé plusieurs bateaux des Gardiens de la révolution approcher à grande vitesse des forces navales américaines». Celles-ci ont «essayé d’établir des communications, restées sans réponse  de la part des bateaux iraniens». «Rapidement, à une distance de sécurité, l’hélicoptère américain a déployé des fusées éclairantes, après quoi les bateaux iraniens ont cessé leur approche. Après communication, les bateaux iraniens ont été observés en train de mener un exercice armé», a précisé le communiqué américain, soulignant toutefois que l’interaction est restée «professionnelle».
	Mardi, un patrouilleur de la marine américaine a tiré des coups de semonce contre un vaisseau iranien des Gardiens de la révolution islamique, qui s’était approché à moins de 140 mètres, a indiqué un responsable américain de la Défense.
	Les incidents se sont multipliés ces derniers mois entre bateaux américains et vaisseaux iraniens dans le Golfe.
	En janvier, le destroyer USS Mahan a tiré une fusée éclairante, en signe d’avertissement, à un bateau des Gardiens de la révolution iranienne qui s’approchait de lui. "
"fr_DZA_elwata_int" "2017-07-30 13:00:00" "Du sable des territoires occupés  couvre une plage des îles Canaries" " 
	La plage Tauro de la station de Gran Canaria aux îles Canaries a été couverte de sable provenant illégalement de la dernière colonie d’Afrique, le Sahara occidental, a relevé une enquête menée par le quotidien britannique, The Guardian, publiée hier et citée par l’APS. 
