"en_IND_tindia_int" "2017-08-02 10:39:41" "US seeks no regime change North Korea: Tillerson" "<a href=""http://timesofindia.indiatimes.com/world/us/us-seeks-no-regime-change-north-korea-rex-tillerson/articleshow/59878890.cms""><img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""http://timesofindia.indiatimes.com/photo/59878890.cms"" /></a>""We do not seek a regime change; we do not seek the collapse of the regime; we do not seek an accelerated reunification of the peninsula; we do not seek an excuse to send our military north of the 38th parallel,"" US secretary of state Rex Tillerson said."
"en_IND_tindia_int" "2017-08-02 06:00:15" "China anti-graft officer expelled for corruption" "<a href=""http://timesofindia.indiatimes.com/world/china/china-expels-anti-graft-inspector-from-party-for-corruption/articleshow/59874625.cms""><img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""http://timesofindia.indiatimes.com/photo/59874625.cms"" /></a>"
"en_IND_tindia_int" "2017-08-02 05:51:36" "Trump and I disagree over Iran nuclear deal: Tillerson" "<a href=""http://timesofindia.indiatimes.com/world/us/tillerson-says-he-and-trump-disagree-over-iran-nuclear-deal/articleshow/59874528.cms""><img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""http://timesofindia.indiatimes.com/photo/59874528.cms"" /></a>US Secretary of State Rex Tillerson acknowledged on Tuesday that he and President Donald Trump disagree over the 2015 Iran nuclear deal."
"en_IND_tindia_int" "2017-08-02 05:25:28" "Trump ready for war with North Korea: US senator" "<a href=""http://timesofindia.indiatimes.com/world/us/trump-ready-for-war-with-north-korea-us-senator/articleshow/59874159.cms""><img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""http://timesofindia.indiatimes.com/photo/59874159.cms"" /></a>Lindsey Graham, a foreign policy hawk, told NBC's Today Show: ""There is a military option: To destroy North Korea's program and North Korea itself."" US President Donald Trump has told him he would go to war to destroy North Korea rather than allow it to develop a long-range nuclear-armed missile, Graham said."
"en_IND_tindia_int" "2017-08-02 05:41:03" "Imran Khan harasses women, alleges ex-party member" "<a href=""http://timesofindia.indiatimes.com/world/pakistan/imran-khan-harasses-women-sends-indecent-text-messages-alleges-woman-who-quit-his-party/articleshow/59874369.cms""><img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""http://timesofindia.indiatimes.com/photo/59874369.cms"" /></a>"
"en_IND_tindia_int" "2017-08-01 17:14:52" "At least 34 killed in Madagascar bus crash" "<a href=""http://timesofindia.indiatimes.com/world/rest-of-world/at-least-34-killed-in-madagascar-bus-crash/articleshow/59866989.cms""><img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""http://timesofindia.indiatimes.com/photo/59866989.cms"" /></a>At least 34 people died when a bus carrying young Christian worshippers plunged down a steep ravine in Madagascar, police and hospital officials said on Tuesday."
"en_IND_tindia_int" "2017-08-01 15:44:35" "Iran complains to UN over new US sanctions" "<a href=""http://timesofindia.indiatimes.com/world/us/iran-complains-to-un-over-new-us-sanctions-against-tehran/articleshow/59865563.cms""><img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""http://timesofindia.indiatimes.com/photo/59865563.cms"" /></a>Iran has complained to the UN Security Council over the latest US sanctions imposed on Tehran. The semi-official Tasnim news agency said Parliament Speaker Ali Larijani announced the complaint on Tuesday, though it's unclear what Iran expects the United Nations would do."
"en_IND_tindia_int" "2017-08-01 14:13:48" "Vietnam criticises China's cinema on South China Sea island" "<a href=""http://timesofindia.indiatimes.com/world/china/vietnam-criticises-chinas-cinema-on-disputed-south-china-sea-island/articleshow/59864341.cms""><img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""http://timesofindia.indiatimes.com/photo/59864341.cms"" /></a>Vietnam condemned China's construction and operation of movie theater on Paracel islands, as tension between the neighbours rises over disputed South China Sea waterway. The cinema on Woody Island, which are also claimed by Taiwan and Vietnam, is equipped with the most advanced projection equipment."
"en_IND_tindia_int" "2017-08-01 10:44:01" "China's first overseas military base in Djibouti" "<a href=""http://timesofindia.indiatimes.com/world/china/china-formally-opens-first-overseas-military-base-in-djibouti/articleshow/59860532.cms""><img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""http://timesofindia.indiatimes.com/photo/59860532.cms"" /></a>"
"en_IND_tindia_int" "2017-08-01 06:14:08" "China won't compromise on sovereignty: Xi Jinping" "<a href=""http://timesofindia.indiatimes.com/world/china/china-loves-peace-but-wont-compromise-on-sovereignty-xi-jinping/articleshow/59857447.cms""><img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""http://timesofindia.indiatimes.com/photo/59857447.cms"" /></a>China has rattled nerves around Asia and globally with its increasingly assertive stance in territorial disputes in the East and South China Seas and an ambitious military modernisation plan."
"en_IND_tindia_int" "2017-08-01 06:22:03" "North Korea can hit most of United States: US officials" "<a href=""http://timesofindia.indiatimes.com/world/us/north-korea-can-hit-most-of-united-states-us-officials/articleshow/59857515.cms""><img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""http://timesofindia.indiatimes.com/photo/59857515.cms"" /></a>The assessment, which the officials discussed on condition of anonymity, underscored the growing threat posed by Pyongyang's nuclear and missile programs, and could add pressure on President Donald Trump's administration to respond."
